scope,year,nominal_output_million_twd,real_output_chain_million_twd,employee_compensation_million_twd,employee_hours,cpi_2024_100,output_price_raw,output_price_2024_100,employee_compensation_per_hour_twd,real_consumer_compensation_per_hour_2024_twd,real_output_per_employee_hour_twd,employee_compensation_share,consumer_output_price_ratio,real_consumer_compensation_index_2000_100,labor_productivity_index_2000_100,real_consumer_compensation_log_change,labor_productivity_log_change,employee_compensation_share_log_change,price_wedge_log_change,identity_residual,labor_share_definition,real_output_aggregation_note,row_type,survey_real_regular_hourly_index_2000_100,index_base_note
industry_services_common_16,2010,11694374.0000000000,12847270.0000000000,4837084.0000000000,14433118821.5999984741,83.4134615385,0.9102614018,85.0145623760,335.1378215470,401.7790598373,890.1243146958,0.4136248764,0.9811667461,107.3629850309,142.4025837261,0.0068507209,0.0499220488,-0.0257789080,0.0172924199,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,101.8866065627,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2011,11852128.0000000000,13421487.0000000000,5113466.0000000000,14747205055.2000007629,84.5991528568,0.8830711530,82.4751082130,346.7413642694,409.8638728172,910.1037755807,0.4314386412,1.0257537661,109.5234003977,145.5989090084,0.0199227519,0.0221974997,0.0421658343,0.0444405821,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,103.0747166724,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2012,12092589.0000000000,13764026.0000000000,5257646.0000000000,15034699119.5999984741,86.2362416522,0.8785648182,82.0542356129,349.7007793888,405.5148655469,915.4839674880,0.4347824936,1.0509663640,108.3612631707,146.4596351069,-0.0106675544,0.0058942196,0.0077205898,0.0242823637,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,102.2438156611,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2013,12780482.0000000000,14156418.0000000000,5416285.0000000000,15190175970.0000000000,86.9195213950,0.9028047914,84.3181465237,356.5649937629,410.2242948882,931.9456224838,0.4237934845,1.0308518982,109.6197120109,149.0931798434,0.0115465381,0.0178216163,-0.0255996198,-0.0193245416,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,103.5328553003,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2014,13776842.0000000000,14964855.0000000000,5792868.0000000000,15628975335.6000003815,87.9575810042,0.9206131299,85.9813699644,370.6492508696,421.3954574898,957.5071096256,0.4204786554,1.0229841772,112.6048585331,153.1825207959,0.0268676509,0.0270586782,-0.0078525535,-0.0076615263,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,103.7047219281,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2015,14460397.0000000000,15143638.0000000000,6099408.0000000000,15715182356.4000015259,87.6885975761,0.9548826378,89.1819969657,388.1219995844,442.6139889486,963.6310706781,0.4218008676,0.9832544747,118.2748525749,154.1622354965,0.0491263117,0.0063753684,0.0031396068,-0.0396113365,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,106.8049977297,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2016,14929752.0000000000,15505057.0000000000,6298887.0000000000,15405425548.8000011444,88.9098441751,0.9628956540,89.9303787588,408.8745864272,459.8754954759,1006.4672962707,0.4219016498,0.9886519483,122.8874545050,161.0151987296,0.0382577574,0.0434932374,0.0002389047,0.0054743847,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,110.5039727814,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2017,15425225.0000000000,16149097.0000000000,6598571.0000000000,15707293771.2000007629,89.4624969082,0.9551756981,89.2093675495,420.0959819125,469.5777520533,1028.1272659209,0.4277779417,1.0028374751,125.4800814780,164.4803727403,0.0208781002,0.0212924859,0.0138320035,0.0142463892,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,111.3873995934,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2018,15768845.0000000000,16632152.0000000000,6983123.0000000000,15986400715.2000007629,90.6706035122,0.9480940891,88.5479752434,436.8164619670,481.7619438344,1040.3937882144,0.4428430237,1.0239715054,128.7359286103,166.4427778102,0.0256162086,0.0118603251,0.0346111259,0.0208552424,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,112.8141918897,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2019,16135284.0000000000,17082552.0000000000,7267736.0000000000,16420302718.8000011444,91.1776527331,0.9445476297,88.2167509420,442.6067000384,485.4333126275,1040.3311249824,0.4504250436,1.0335639406,129.7169879839,166.4327529114,0.0075918206,-0.0000602321,0.0169763195,0.0093242668,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,114.6680977677,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2020,17081112.0000000000,17569170.0000000000,7441611.0000000000,16461681681.6000003815,90.9604563443,0.9722207708,90.8013052041,452.0565482880,496.9813987926,1067.2767424265,0.4356631465,1.0017527407,132.8028556311,170.7435278007,0.0235106783,0.0255712518,-0.0333223334,-0.0312617599,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,116.5804783486,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2021,18894400.0000000000,18894400.0000000000,7969584.0000000000,16414118376.0000000000,92.7529062577,1.0000000000,93.3957676381,485.5322605479,523.4685145054,1151.1066002562,0.4217960877,0.9931168039,139.8807153109,184.1546751553,0.0519242859,0.0756134371,-0.0323473522,-0.0086582009,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,118.1704501991,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2022,19759303.0000000000,19462093.0000000000,8464495.0000000000,16590145432.7999992371,95.4860252288,1.0152712249,94.8220354141,510.2122241355,534.3318280481,1173.1116570878,0.4283802420,1.0070024843,142.7835987258,187.6750564056,0.0205401625,0.0189360137,0.0154892241,0.0138850753,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,117.3715173304,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2023,20102202.0000000000,19523641.0000000000,8697584.0000000000,16733126016.0000000000,97.8659102152,1.0296338680,96.1634454867,519.7823760894,531.1168873273,1166.7659098086,0.4326682221,1.0177038657,141.9245055898,186.6598602209,-0.0060349230,-0.0054240127,0.0099599867,0.0105708970,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,116.4357413635,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2024,22364628.0000000000,20887616.0000000000,9381626.0000000000,16892088886.8000011444,100.0000000000,1.0707123302,100.0000000000,555.3857822363,555.3857822363,1236.5324466367,0.4194850010,1.0000000000,148.4096145995,197.8211496474,0.0446808516,0.0580753066,-0.0309434327,-0.0175489777,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,116.8341817228,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2024,,,,,,,,,,,,,,,0.3948059311,0.6821931519,-0.0697165188,0.2176707020,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,endpoint_2000_2024,116.8341817228,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2000,2609701.0000000000,1893139.0000000000,1232608.0000000000,5862111778.7999992371,75.9854996290,1.3785046951,124.8169906992,210.2668878573,276.7197542741,322.9448825671,0.4723177100,0.6087752894,100.0000000000,100.0000000000,,,,,,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,100.0000000000,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2001,2387088.0000000000,1763085.0000000000,1162141.0000000000,5196652372.8000001907,75.9831808063,1.3539267817,122.5915784866,223.6326228175,294.3185853031,339.2732231288,0.4868446408,0.6198075083,106.3598029259,105.0560765763,0.0616575275,0.0493240842,0.0302931861,0.0179597428,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,108.1861342726,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2002,2705103.0000000000,1974072.0000000000,1155933.0000000000,5217302250.0000000000,75.8340032154,1.3703162803,124.0755689946,221.5576067114,292.1612961431,378.3702583073,0.4273157066,0.6111920649,105.5802094467,117.1624876975,-0.0073567703,0.1090674848,-0.1304219597,-0.0139977045,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,108.3719728229,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2003,2934113.0000000000,2200626.0000000000,1223695.0000000000,5358577948.7999992371,75.6206715310,1.3333083404,120.7246774846,228.3618922207,301.9834227827,410.6735072302,0.4170578979,0.6263895096,109.1296946164,127.1652004409,0.0330660906,0.0819252770,-0.0242980438,0.0245611426,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,110.2659155958,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2004,3203799.0000000000,2456812.0000000000,1325533.0000000000,5629615730.3999996185,76.8365075439,1.3040472775,118.0752285340,235.4571010668,306.4390985395,436.4084722041,0.4137378781,0.6507419761,110.7398708644,135.1340416776,0.0146469115,0.0607801551,-0.0079924275,0.0381408161,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,109.4810736033,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2005,3286616.0000000000,2672947.0000000000,1400107.0000000000,5617487232.0000000000,78.6104068761,1.2295851732,111.3330420083,249.2407979184,317.0582723370,475.8260926297,0.4260026118,0.7060833465,114.5773900995,147.3397221369,0.0340665455,0.0864737682,0.0292128487,0.0816200715,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,109.5945215925,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2006,3413111.0000000000,2886538.0000000000,1492499.0000000000,5642446963.2000007629,79.0819008162,1.1824237200,107.0627985455,264.5127211180,334.4794679793,511.5755662084,0.4372840497,0.7386496700,120.8729997815,158.4095595948,0.0534899151,0.0724428731,0.0261375059,0.0450904640,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,111.8924700348,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2007,3692393.0000000000,3310926.0000000000,1538873.0000000000,5715401659.2000007629,80.5025661637,1.1152145956,100.9773345673,269.2501930329,334.4616275775,579.2989185057,0.4167684751,0.7972340180,120.8665526806,179.3801201929,-0.0000533392,0.1243233022,-0.0480521312,0.0763245103,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,111.4020805399,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2008,3494577.0000000000,3351788.0000000000,1568294.0000000000,5669271933.5999994278,83.3446697997,1.0426008447,94.4025075832,276.6305829687,331.9115471136,591.2201847534,0.4487793515,0.8828649994,119.9450136779,183.0715446096,-0.0076536482,0.0203698999,0.0740004930,0.1020240411,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,108.2188238999,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2009,3353669.0000000000,3284456.0000000000,1376113.0000000000,5152446566.3999996185,82.6157865446,1.0210728961,92.4532550570,267.0795285824,323.2790484153,637.4556160210,0.4103305961,0.8935952173,116.8254320200,197.3883626685,-0.0263526318,0.0752961416,-0.0895681782,0.0120805953,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,105.0682243982,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2010,4021323.0000000000,4050405.0000000000,1538706.0000000000,5664127428.0000000000,83.4134615385,0.9928199773,89.8950887198,271.6580831839,325.6765492925,715.0977889334,0.3826367591,0.9278978721,117.6918323547,221.4302896671,0.0073888315,0.1149346484,-0.0698770373,0.0376687796,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,104.3646263438,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2011,4031893.0000000000,4318148.0000000000,1664002.0000000000,5771464980.0000000000,84.5991528568,0.9337088493,84.5428594960,288.3153594046,340.8017097910,748.1892405072,0.4127098611,1.0006658559,123.1577090277,231.6770696472,0.0453961032,0.0452366402,0.0756587011,0.0754992381,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,105.9179903550,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2012,4120261.0000000000,4549302.0000000000,1729366.0000000000,5805704696.3999996185,86.2362416522,0.9056908071,82.0059601129,297.8735727073,345.4157637209,783.5916978039,0.4197224399,1.0515850498,124.8251194162,242.6394533875,0.0134479918,0.0462321498,0.0168488049,0.0496329629,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,105.6674031188,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2013,4445009.0000000000,4703461.0000000000,1788371.0000000000,5859683136.0000000000,86.9195213950,0.9450506765,85.5698075739,305.1992673482,351.1285640440,802.6817987996,0.4023323687,1.0157732483,126.8895908661,248.5507100837,0.0164036320,0.0240702788,-0.0423151006,-0.0346484538,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,106.9047095037,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2014,5056638.0000000000,5198322.0000000000,1944999.0000000000,6027284460.0000000000,87.9575810042,0.9727442817,88.0773307437,322.6990550899,366.8803204973,862.4650179527,0.3846427211,0.9986404023,132.5819045553,267.0626055743,0.0438832570,0.0718362193,-0.0449636286,-0.0170106663,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,106.5962165257,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2015,5348932.0000000000,5268159.0000000000,2081773.0000000000,6013093632.0000000000,87.6885975761,1.0153323011,91.9334717042,346.2066495891,394.8137604650,876.1145796840,0.3891941419,0.9538266743,142.6763916803,271.2891973143,0.0733784685,0.0157022919,0.0117633923,-0.0459127843,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,110.0212854946,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2016,5655706.0000000000,5481223.0000000000,2167236.0000000000,5822350390.8000001907,88.9098441751,1.0318328592,93.4275181263,372.2269967511,418.6566743025,941.4107073770,0.3831946003,0.9516451465,151.2926590300,291.5081669335,0.0586370297,0.0718826217,-0.0155353438,-0.0022897518,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,115.1143537634,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2017,5951694.0000000000,5885211.0000000000,2285745.0000000000,5934469203.5999994278,89.4624969082,1.0112966213,91.5680602495,385.1641859753,430.5314509278,991.6996445832,0.3840494824,0.9770054827,155.5839235465,307.0801545762,0.0279691870,0.0520407810,0.0022284498,0.0263000438,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,116.0234160708,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2018,6088713.0000000000,6109931.0000000000,2443775.0000000000,6036818343.6000003815,90.6706035122,0.9965272930,90.2307683870,404.8117503139,446.4641621794,1012.1111241450,0.4013615028,1.0048745581,161.3416300367,313.4005766246,0.0363387553,0.0203733665,0.0440911199,0.0281257311,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,117.1750351997,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2019,6075769.0000000000,6241874.0000000000,2518668.0000000000,6047880300.0000000000,91.1776527331,0.9733886009,88.1356707590,416.4546709035,456.7508138452,1032.0763127537,0.4145430809,1.0345147651,165.0589836072,319.5828045175,0.0227788439,0.0195342395,0.0323143792,0.0290697749,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,118.9944410766,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2020,6770729.0000000000,6796648.0000000000,2601030.0000000000,6020110809.6000003815,90.9604563443,0.9961865025,90.1999114410,432.0568312218,474.9941332599,1128.9905144539,0.3841580427,1.0084317700,171.6516894523,349.5923222190,0.0391644759,0.0897512726,-0.0761228664,-0.0255360697,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,120.7451704578,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2021,7918542.0000000000,7918542.0000000000,2926992.0000000000,6122494207.1999998093,92.7529062577,1.0000000000,90.5452053531,478.0718283993,515.4251739249,1293.3523057789,0.3696377439,1.0243823060,186.2625150405,400.4870105071,0.0816896876,0.1359136509,-0.0385305818,0.0156933815,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,122.5484179809,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2022,8341140.0000000000,8097569.0000000000,3097517.0000000000,6115048624.7999992371,95.4860252288,1.0300795214,93.2687617950,506.5400440869,530.4860505747,1324.2035340749,0.3713541554,1.0237728409,191.7051610450,410.0401045369,0.0288015223,0.0235736381,0.0046327486,-0.0005951357,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,123.3752436661,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2023,8051425.0000000000,7507180.0000000000,3050450.0000000000,6045532051.2000007629,97.8659102152,1.0724965966,97.1094245789,504.5792453279,515.5822330967,1241.7732527793,0.3788708210,1.0077900331,186.3192725251,384.5155380411,-0.0284968511,-0.0642707717,0.0200391012,-0.0157348194,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,123.4658322733,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2024,9152478.0000000000,8287130.0000000000,3297516.0000000000,6081308679.6000003815,100.0000000000,1.1044207102,100.0000000000,542.2378921599,542.2378921599,1362.7214858867,0.3602866896,1.0000000000,195.9519997343,421.9672022836,0.0504080088,0.0929433921,-0.0502952309,-0.0077598475,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,annual_path,123.1997530077,CPI and output-price indexes both rebased to 2024=100 before ratios
manufacturing,2024,,,,,,,,,,,,,,,0.6726995439,1.4397574053,-0.2707517990,0.4963060624,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,manufacturing direct series,endpoint_2000_2024,123.1997530077,CPI and output-price indexes both rebased to 2024=100 before ratios
